Entry,"Pair (event_id, vertex_id)",interactions,stack,segments,trajectories
580,"(166, 1000000008000160)",1,7,164,220
581,"(166, 8000048)",1,7,66,174
582,"(167, 1000000008000183)",1,5,1,4
583,"(168, 8000053)",1,5,17,162
584,"(168, 1000000008000199)",1,11,1,219
585,"(168, 8000054)",1,6,1605,1195
586,"(168, 1000000008000210)",1,5,119,218
587,"(168, 1000000008000212)",1,4,131,203
588,"(169, 1000000008000222)",1,5,493,481
589,"(169, 1000000008000227)",1,5,1,191
590,"(170, 1000000008000249)",1,5,50,390
591,"(170, 8000056)",1,9,834,7603
592,"(170, 8000057)",1,9,862,1070
593,"(173, 1000000008000311)",1,10,1,1070
594,"(173, 1000000008000323)",1,13,10,174
595,"(174, 1000000008000344)",1,6,35,282
596,"(174, 8000068)",1,7,7,2231
597,"(174, 1000000008000358)",1,18,254,315
598,"(175, 8000075)",1,4,9,228
599,"(175, 1000000008000371)",1,6,103,279
600,"(175, 8000076)",1,5,2,7
601,"(175, 8000078)",1,7,31,31
602,"(176, 8000083)",1,15,162,1297
603,"(177, 8000085)",1,6,751,718
604,"(177, 8000088)",1,8,241,461
605,"(177, 8000090)",1,8,6206,4661
606,"(178, 9000004)",1,6,452,1213
607,"(179, 1000000008000473)",1,5,8,12
608,"(179, 1000000008000487)",1,5,12,30
609,"(179, 1000000008000490)",1,6,1,102
610,"(180, 1000000008000510)",1,6,30,401
611,"(181, 1000000008000524)",1,7,52,330
612,"(181, 1000000009000000)",1,8,87,251
613,"(181, 1000000009000004)",1,8,5,230
614,"(181, 1000000009000011)",1,16,29,116
615,"(182, 1000000009000018)",1,5,132,192
616,"(182, 1000000009000019)",1,6,19,310
617,"(182, 1000000009000027)",1,5,8,169
618,"(182, 9000016)",1,14,1377,4732
619,"(182, 1000000009000037)",1,9,19,139
620,"(183, 9000018)",1,38,73,26532
621,"(183, 1000000009000053)",1,24,9,368
622,"(183, 1000000009000065)",1,8,2,142
623,"(184, 9000022)",1,6,4128,2969
624,"(184, 1000000009000091)",1,4,16,519
625,"(185, 1000000009000103)",1,6,42,152
